Rank,Company,Domain,Vertical,Country,ICP Tier,ICP Score,Monthly Visits,Tech Spend,Has Case Study Match
610,Deerfield Bank,deerfieldbank.com,Finance,US,Tier 3,35,,26450,No
611,,medicuspensionplan.com,Finance,CA,Tier 3,35,,26440,No
612,PT Hexindo Adiperkasa Tbk,hexindo-tbk.co.id,Technology And Computing,IN,Tier 3,35,,26415,No
613,Man's Best Friend,mansbestfriend.com,Business And Industrial,US,Tier 3,35,,26342,No
614,Novo Nordisk,novonordisk.si,Technology And Computing,SI,Tier 3,35,,26317,No
615,SEAT S.A,cupraofficial.es,Finance,ES,Tier 3,35,,26305,No
616,Novo Nordisk,novonordisk.sg,Business And Industrial,SG,Tier 3,35,,26182,No
617,Vicwest,vicwest.com,Business And Industrial,CA,Tier 3,35,,26125,No
618,CIMB Bank Philippines Corporation,cimbbank.com.ph,Technology And Computing,PH,Tier 3,35,,25712,No
619,Briggs & Stratton Corporation,branco.com.br,"Law, Govt And Politics",BR,Tier 3,35,,25690,No
620,United HealthCare Services Inc,umr.com,Technology And Computing,US,Tier 3,35,,25680,No
621,Novo Nordisk,novonordisk.ro,Technology And Computing,AL,Tier 3,35,,25670,No
622,MAXIMUS Canada Inc,maximuscanada.ca,Business And Industrial,CA,Tier 3,35,,25654,No
623,The Three Accessories Store,three.ie,Technology And Computing,IE,Tier 3,35,,25593,No
624,CereX B.V,cerex.nl,"Law, Govt And Politics",NL,Tier 3,35,,25253,No
625,Sony Electronics Pte Ltd,sony-asia.com,Technology And Computing,SG,Tier 3,35,,25221,No
626,Vancouver Harbour Flight Centre,vhfc.ca,Business And Industrial,CA,Tier 3,35,,25140,No
627,Bank of Nova Scotia,banquescotia.com,Business And Industrial,CA,Tier 3,35,,25021,No
628,,ihgresidences.com,,,Tier 3,30,,39637,No
629,,hawaiianairlinesbohcard.com,Travel,US,Tier 3,30,,37640,No
630,,medtronicdm.com,Unknown,,Tier 3,30,,36440,No
631,Stanford University School of Medicine,med.stanford.edu,Unknown,US,Tier 3,30,,34431,No
632,Heroes Vacation Club,heroesvacationclub.com,Travel,US,Tier 3,30,,33358,No
633,Weltvogelpark,weltvogelpark.de,Travel,DE,Tier 3,30,,33305,No
634,,gmenvolve.com,Unknown,,Tier 3,30,,32837,No
635,Chevron U.S.A. Inc,chevroncontechron.com,Unknown,,Tier 3,30,,32385,No
636,,northlandam.com,,,Tier 3,30,,31540,No
637,,supplysideconnect.com,Unknown,GB,Tier 3,30,,31238,No
638,,novonordiskpro.fr,Unknown,,Tier 3,30,,29902,No
639,GRUPO NACIONAL PROVINCIAL S.A.B,gnp.com.mx,Society,MX,Tier 3,30,,29699,No
640,,supplysideglobal.com,Unknown,GB,Tier 3,30,,29438,No
641,,vyalevhcp.com,Unknown,US,Tier 3,30,,28620,No
642,Schindler Group,schindler.com.tr,Careers,TR,Tier 3,30,,28315,No
643,Zillow Inc,bhgre.com,Real Estate,US,Tier 3,30,,28211,No
644,Thermo Fisher Scientific,thermofisher.cn,Unknown,US,Tier 3,30,,28194,No
645,,medevicesiliconvalley.com,,,Tier 3,30,,28142,No
646,Magic Fashion Events,magicfashionevents.com,Hobbies And Interests,GB,Tier 3,30,,27865,No
647,Allianz Telefono numeris,allianz.lt,Unknown,,Tier 3,30,,27840,No
648,,stage-leqselvi.com,,,Tier 3,30,,27485,No
649,Schindler Terminos,schindler.com.ve,Unknown,VE,Tier 3,30,,27040,No
650,,financierehorizons.com,Unknown,CA,Tier 3,30,,26710,No
651,ChemarautoChevrolet Se,chemarautochevrolet.com.br,Unknown,,Tier 3,30,,26177,No
652,Chugai Pharmaceutical Co,chugai-pharm.jp,Unknown,JP,Tier 3,30,,26125,No
653,,dentemaxportal.com,Unknown,,Tier 3,30,,25940,No
654,,incamotorschevrolet.com.pe,Unknown,,Tier 3,30,,25937,No
655,Happy Dogs Play And Stay,happydogsplayandstay.com,Unknown,US,Tier 3,30,,25875,No
656,Nissan Motor Co. Ltd,nissan.lt,Unknown,FR,Tier 3,30,,25846,No
657,,bfm-gvb.ch,,,Tier 3,30,,25805,No
658,,mgbijapur.co.in,,,Tier 3,30,,25140,No
659,,cropscience.bayer.com,,CA,Tier 3,30,,25075,No
660,,myjemperlijourney.com,,,Tier 3,30,,25047,No
661,CIMB Bank Cambodia PLC,cimbbank.com.kh,Business And Industrial,JP,Tier 3,25,,24912,No
662,,mhr.co.za,Business And Industrial,ZA,Tier 3,25,,24868,No
663,Novo Nordisk Portugal Lda,novonordisk.pt,Technology And Computing,PT,Tier 3,25,,24617,No
664,Shell Plc,shell.com.au,Business And Industrial,AU,Tier 3,25,,24411,No
665,Mkdalexander,mkdalexander.com,Technology And Computing,US,Tier 3,25,,24301,No
666,mkdFortbend.com,mkdfortbend.com,Technology And Computing,US,Tier 3,25,,24301,No
667,,mkdlasvegas.com,Technology And Computing,US,Tier 3,25,,24301,No
668,,mykidsdentistorchard.com,Technology And Computing,,Tier 3,25,,24301,No
669,Mastercard,mastercard.ie,Business And Industrial,IE,Tier 3,25,,24200,No
670,Lombard Ireland,lombard.ie,Finance,IE,Tier 3,25,,24099,No
671,Advantage Plus Network Connecticut,advantageplusnetwork.com,Technology And Computing,US,Tier 3,25,,24089,No
672,,vinerandselig.ca,Finance,CA,Tier 3,25,,23997,No
673,,norterrakidsdentistry.com,Technology And Computing,US,Tier 3,25,,23991,No
674,Novo Nordisk,novonordisk.sk,Technology And Computing,SK,Tier 3,25,,23970,No
675,,novonordisk-xk.com,Technology And Computing,AL,Tier 3,25,,23970,No
676,Enterprise DE,enterprise.de,Technology And Computing,DE,Tier 3,25,,23950,No
677,Costa Kreuzfahrten Switzerland AG,costakreuzfahrten.ch,Business And Industrial,IT,Tier 3,25,,23879,No
678,,mykidsdentistwildomar.com,Technology And Computing,US,Tier 3,25,,23811,No
679,,mykidsdentistmurrieta.com,Technology And Computing,US,Tier 3,25,,23811,No
680,,dentistsofcentennial.com,Finance,US,Tier 3,25,,23811,No
681,Sony Latin America Inc,sony.com.pa,Technology And Computing,US,Tier 3,25,,23550,No
682,Sony Corporation,sony.com.pe,Technology And Computing,,Tier 3,25,,23550,No
683,Allianz SE,allianz.sg,Business And Industrial,SG,Tier 3,25,,23410,No
684,,indiafoldingcarton.com,Business And Industrial,IN,Tier 3,25,,23337,No
685,AbbVie Inc,rxabbvie.com,Technology And Computing,US,Tier 3,25,,23320,No
686,Colgate-Palmolive Company,colgate.it,Business And Industrial,IT,Tier 3,25,,23196,No
687,Farmlands Co-operative Society Ltd,farmlands.co.nz,Business And Industrial,NZ,Tier 3,25,,23153,No
688,Robert Walters Plc,robertwalters.com.au,Business And Industrial,AU,Tier 3,25,,23070,No
689,Sony Corporation,sony.co.uk,Technology And Computing,GB,Tier 3,25,,22864,No
690,Ayear Corteva,corteva.co.uk,Business And Industrial,GB,Tier 3,25,,22847,No
691,Secil Group,secil.es,Science,ES,Tier 3,25,,22837,No
692,Dynamic Materials Corporation,nobelclad.com,Business And Industrial,US,Tier 3,25,,22810,No
693,Centene Corporation,coordinatedcarehealth.com,Technology And Computing,US,Tier 3,25,,22700,No
694,www.mybcbswny.com,mybcbswny.com,Technology And Computing,US,Tier 3,25,,22510,No
695,,ulricehamnssparbank.se,Finance,SE,Tier 3,25,,22400,No
696,Tata Capital Moneyfy,tatacapitalmoneyfy.com,Finance,IN,Tier 3,25,,22340,No
697,Colgate-Palmolive Company,colgate.nl,Business And Industrial,NL,Tier 3,25,,22299,No
698,,esri-austria.at,Technology And Computing,AT,Tier 3,25,,22220,No
699,Roche Products Pty Ltd,roche-infohub.co.za,Technology And Computing,,Tier 3,25,,22100,No
700,Roche Austria GmbH,rochescience.at,Business And Industrial,AT,Tier 3,25,,22100,No
701,Centene Corporation,wellcarecomplete.com,Technology And Computing,US,Tier 3,25,,22020,No
702,Artisan Partners Ltd Partnership,artisanpartners.com,Technology And Computing,GB,Tier 3,25,,21774,No
703,Infosys Ltd,infosys.org,Science,US,Tier 3,25,,21600,No
704,Novo Nordisk,novonordisk.rs,Technology And Computing,AL,Tier 3,25,,21517,No
705,Langenbeck-Virchow-Haus,langenbeck-virchow-haus.com,Science,DE,Tier 3,25,,21517,No
706,QS Partners LLC,qspartners.com,Technology And Computing,US,Tier 3,25,,21517,No
707,Innovation Health Medicare,innovationhealthmedicare.com,Technology And Computing,US,Tier 3,25,,21500,No
708,NextEra Energy Inc,nexteraenergy.com,Business And Industrial,US,Tier 3,25,,21428,No
709,,schindler-marine.com,Business And Industrial,IT,Tier 3,25,,21200,No
710,DuPont Canada,dupont.ca,Business And Industrial,US,Tier 3,25,,21055,No
711,Sony Group,sony.com.ph,Technology And Computing,SG,Tier 3,25,,21050,No
712,KIA MOTORS DEUTSCHLAND GmbH,kia-christmann-ludwigshafen.de,Technology And Computing,KR,Tier 3,25,,21000,No
713,Kia-Muehlenbein GmbH,kia-muehlenbein-detmold.de,Technology And Computing,DE,Tier 3,25,,21000,No
714,Kia-Jungmann Vonzumhoff Wuppertal-Barmen GmbH,kia-jungmann-vonzumhoff-wuppertal-barmen.de,Technology And Computing,DE,Tier 3,25,,21000,No
715,KIA MOTORS DEUTSCHLAND GmbH,kia-renck-weindel-mannheim-neckarau.de,Technology And Computing,DE,Tier 3,25,,21000,No
716,Kia FUGEL GmbH & Co. KG,kia-fugel-chemnitz.de,Technology And Computing,DE,Tier 3,25,,20865,No
717,Banco Santander S.A.,santander.com,Finance,ES,Tier 3,25,,20840,No
718,North Haven Private Income Fund LLC,northhavenprivateincomefund.com,Finance,US,Tier 3,25,,20797,No
719,Cells For Life,cellsforlife.com,Business And Industrial,CA,Tier 3,25,,20796,No
720,Pleatco Filtration,pleatcofiltration.com,Business And Industrial,US,Tier 3,25,,20773,No
721,Yoast BV,yoast.com,Technology And Computing,NL,Tier 3,25,,20682,No
722,UNFI,unfi.com,Business And Industrial,US,Tier 3,25,,20553,No
723,erkat Anbaufrnsen PC GmbH,erkat.com,Business And Industrial,,Tier 3,25,,20465,No
724,NextEra Energy Inc,fplmaps.com,Business And Industrial,US,Tier 3,25,,20400,No
725,,landisgyr.co.uk,Business And Industrial,BR,Tier 3,25,,20210,No
726,Allianz Seguros e Inversiones,allianz.es,Finance,US,Tier 3,25,,20115,No
727,,ncm.co.za,Business And Industrial,ZA,Tier 3,25,,19765,No
728,International Paint Ltd,international-pc.com,Business And Industrial,GB,Tier 3,25,,19748,No
729,Allianz Argentina Compania de Seguros S.A,allianz.com.ar,Science,AR,Tier 3,25,,19702,No
730,CupraOfficial,cupraofficial.fi,Finance,FI,Tier 3,25,,19665,No
731,Esri Inc,hnit-baltic.lt,Technology And Computing,,Tier 3,25,,19619,No
732,,landisgyr.lv,Business And Industrial,,Tier 3,25,,19603,No
733,Daikin Europe N.V,daikineurope.com,Business And Industrial,,Tier 3,25,,19528,No
734,Allianz Hrvatska d.d,allianz.hr,"Law, Govt And Politics",HR,Tier 3,25,,19470,No
735,LGCNS,lgcns.com,Business And Industrial,KR,Tier 3,25,,19451,No
736,InvoCare Australia Pty Ltd,lesterandson.com.au,Technology And Computing,AU,Tier 3,25,,19415,No
737,,stanfordhealthcareballot.com,"Law, Govt And Politics",,Tier 3,25,,19400,No
738,RX Japan Ltd,wsew.jp,Business And Industrial,JP,Tier 3,25,,19354,No
739,DuPont,dupont.mx,Business And Industrial,MX,Tier 3,25,,19325,No
740,KIA MOTORS DEUTSCHLAND GmbH,kia-korn-schwenk-kulmbach.de,Technology And Computing,DE,Tier 3,25,,19300,No
741,KIA MOTORS DEUTSCHLAND GmbH,kia-bulenda-wesel.de,Technology And Computing,DE,Tier 3,25,,19300,No
742,KIA DEUTSCHLAND GmbH,kia-koenig-teltow.de,Technology And Computing,DE,Tier 3,25,,19300,No
743,Kia Deutschland GmbH,kia-kunzmann-gelnhausen.de,Technology And Computing,DE,Tier 3,25,,19300,No
744,KIA MOTORS DEUTSCHLAND GmbH,kia-burian-peine.de,Technology And Computing,DE,Tier 3,25,,19300,No
745,Kia Schmitz GmbH Co. KG,kia-schmitz-dinslaken.de,Technology And Computing,DE,Tier 3,25,,19300,No
746,Kia Durkop Braunschweig GmbH,kia-duerkop-braunschweig.de,Technology And Computing,DE,Tier 3,25,,19300,No
747,KIA MOTORS DEUTSCHLAND GmbH,kia-billwiller-biberach.de,Technology And Computing,DE,Tier 3,25,,19300,No
748,Kia Reckhaus Erwitte GmbH & Co. KG,kia-reckhaus-erwitte.de,Technology And Computing,DE,Tier 3,25,,19300,No
749,KIA MOTORS DEUTSCHLAND GmbH,kia-dinnebier-berlin-spandau.de,Technology And Computing,DE,Tier 3,25,,19300,No
750,Kia Wagner GmbH & Co. KG,kia-wagner-gladbeck.de,Technology And Computing,CH,Tier 3,25,,19300,No
751,KIA Engbert GmbH & Co. KG,kia-engbert-datteln.de,Technology And Computing,DE,Tier 3,25,,19300,No
752,CARIAD,cariad.technology,Business And Industrial,DE,Tier 3,25,,19200,No
753,Evonik Industries AG,evonik.com,Business And Industrial,DE,Tier 3,25,,19023,No
754,Fred Hutchinson Cancer Center,fredhutch.org,Science,US,Tier 3,25,,19006,No
755,ANZ New Zealand Investments Ltd,mflmutual.co.nz,Finance,,Tier 3,25,,18997,No
756,Servizio Elettrico Nazionale SpA,servizioelettriconazionale.it,"Law, Govt And Politics",IT,Tier 3,25,,18720,No
757,,bnpparibasdeveloppement.com,Business And Industrial,FR,Tier 3,25,,18617,No
758,,ahlconindia.com,Business And Industrial,IN,Tier 3,25,,18427,No
759,Enterprise Holdings Inc,enterpriserentacar.com.au,Technology And Computing,AU,Tier 3,25,,18300,No
760,Bridgestone Corporation,bridgestone.ie,Business And Industrial,FR,Tier 3,25,,18240,No
761,Suncorp Stadium is,suncorpstadium.com.au,Business And Industrial,AU,Tier 3,25,,18150,No
762,Nextera Energy Services,nexteraenergyservices.com,Business And Industrial,US,Tier 3,25,,18071,No
763,Lavazza SV,lavazza.se,Business And Industrial,SE,Tier 3,25,,18050,No
764,MG Motor India Pvt. Ltd,mgmeerut.co.in,Business And Industrial,IN,Tier 3,25,,17931,No
765,Mg Bharuch Pvt. Ltd,mgbharuch.co.in,Business And Industrial,IN,Tier 3,25,,17931,No
766,MG Motor India Pvt. Ltd,mgkaithal.co.in,Business And Industrial,IN,Tier 3,25,,17931,No
767,MG Motor India Pvt. Ltd,mgnavimumbai.co.in,Business And Industrial,IN,Tier 3,25,,17900,No
768,Mgvellore.co.in,mgvellore.co.in,Business And Industrial,IN,Tier 3,25,,17900,No
769,Gridspertise,gridspertise.com,Business And Industrial,,Tier 3,25,,17900,No
770,Emdserono Canada,emdserono.ca,Science,CA,Tier 3,25,,17799,No
771,DuPont Polymers Inc,dupont.es,Business And Industrial,AU,Tier 3,25,,17555,No
772,DuPont Chile,dupont.cl,Finance,,Tier 3,25,,17555,No
773,DuPont,dupont.hk,Business And Industrial,HK,Tier 3,25,,17555,No
774,DuPont,dupont.ae,Business And Industrial,AE,Tier 3,25,,17555,No
775,FleetcardsUSA,fleetcardsusa.com,Business And Industrial,US,Tier 3,25,,17300,No
776,Shell PLC,shell.com.mx,Business And Industrial,MX,Tier 3,25,,17035,No
777,Mastercard Group,mastercard.md,Technology And Computing,US,Tier 3,25,,16800,No
778,,sikkenscv.com,Technology And Computing,,Tier 3,25,,16778,No
779,,landisgyr.nl,Business And Industrial,BR,Tier 3,25,,16710,No
780,Phillips 66,phillips66gas.com,Business And Industrial,US,Tier 3,25,,16650,No
781,Wind Tre S.p.A,tre.it,Technology And Computing,IT,Tier 3,25,,16600,No
782,Moog Inc,moog.it,Business And Industrial,IT,Tier 3,25,,16542,No
783,Saccom Group,batimat.com,Business And Industrial,FR,Tier 3,25,,16447,No
784,,mip-china.com,Business And Industrial,,Tier 3,25,,16447,No
785,MAPIC - Italy,mapic-italy.it,Business And Industrial,IT,Tier 3,25,,16447,No
786,,zeposiaespanol.com,Technology And Computing,,Tier 3,25,,16400,No
787,Sun Pharmaceutical Industries Inc,bromsite.com,Business And Industrial,,Tier 3,25,,16400,No
788,,duluxtrade.co.za,Business And Industrial,ZA,Tier 3,25,,16382,No
789,smart529,smart529.com,Finance,US,Tier 3,25,,16295,No
790,Abbott Laboratories,th.abbott,Business And Industrial,US,Tier 3,25,,16150,No
791,,medicalaffairs.abbott,Science,,Tier 3,25,,16150,No
792,,landisgyr.lt,Business And Industrial,,Tier 3,25,,16103,No
793,SoluForce B.V.,soluforce.com,Business And Industrial,NL,Tier 3,25,,15895,No
794,All Covered Inc,allcovered.com,Technology And Computing,US,Tier 3,25,,15876,No
795,Casco - Limmar Faster Fogar,casco.se,Technology And Computing,SE,Tier 3,25,,15790,No
796,,ncmedicaidplans.gov,Technology And Computing,US,Tier 3,25,,15750,No
797,Astellas Pharma Ltd,evrenzo.nl,Technology And Computing,NL,Tier 3,25,,15707,No
798,Pierer Industrie AG,husqvarna-bicycles.com,Business And Industrial,AT,Tier 3,25,,15640,No
799,Colgate-Palmolive,colgate.no,Finance,NO,Tier 3,25,,15599,No
800,Colgate Palmolive Company,palmolive.ph,Business And Industrial,,Tier 3,25,,15599,No
801,STIHL Inc,stihlusa.com,Technology And Computing,US,Tier 3,25,,15530,No
802,Bristol-Myers Squibb GmbH,psoriasis-initiative-ich.de,Science,,Tier 3,25,,15500,No
803,"Allianz, Seguros",allianz.pt,"Law, Govt And Politics",PT,Tier 3,25,,15470,No
804,Exemplis Corporation,exemplis.com,Business And Industrial,US,Tier 3,25,,15307,No
805,NSK Ltd.,nsk.com,Technology And Computing,US,Tier 3,25,,15222,No
806,Prudential IP Services Ltd,prudentialplc.com,Business And Industrial,GB,Tier 3,25,,15139,No
807,Progress Rail Services Corporation,progressrail.com,Business And Industrial,US,Tier 3,25,,15060,No
808,Viking River Cruises Inc,viking.com,Technology And Computing,US,Tier 3,25,,15009,No
809,Champion Home Builders Inc,silvercrest.com,Business And Industrial,US,Tier 3,25,,14732,No
810,Capquest Group,capquest.co.uk,Finance,GB,Tier 3,25,,14690,No
811,,tobinscanberrafunerals.com.au,Technology And Computing,AU,Tier 3,25,,14565,No
812,Somerville Funerals,somervillefunerals.com.au,Technology And Computing,AU,Tier 3,25,,14565,No
813,Oceanology International Americas,oceanologyinternationalamericas.com,Business And Industrial,US,Tier 3,25,,14400,No
814,Takeda Pharmaceuticals U.S.A. Inc,takedamedconnect.com,Business And Industrial,US,Tier 3,25,,14397,No
815,ENI PLENITUDE IBERIA S.L,eniplenitude.es,Business And Industrial,ES,Tier 3,25,,14250,No
816,Avery Dennison Corporation,makingpackagingcircular.com,Business And Industrial,,Tier 3,25,,14200,No
817,Visa,visa.com.tw,Finance,US,Tier 3,25,,14117,No
818,USHEALTH Group,ushealthgroup.com,Business And Industrial,US,Tier 3,25,,13985,No
819,Smart Japam Co. Ltd,shopjapan.co.jp,Technology And Computing,JP,Tier 3,25,,13940,No
820,ZenTrades,zentrades.pro,Business And Industrial,US,Tier 3,25,,13924,No
821,Safe Guard Products International LLC,power-protect.com,Business And Industrial,US,Tier 3,25,,13900,No
822,MLCAM.COM.AU Pty Ltd,mlcam.com.au,Business And Industrial,AU,Tier 3,25,,13900,No
823,Herschel Supply Co,herschelsupply.de,Business And Industrial,GB,Tier 3,25,,13372,No
824,Herschel Supply Co,herschelsupply.fr,Business And Industrial,GB,Tier 3,25,,13372,No
825,Bridgestone Corporation,bridgestone.fr,Business And Industrial,FR,Tier 3,25,,13340,No
826,,ch.abbott,Technology And Computing,CH,Tier 3,25,,13050,No
827,RBC Trust,rbctrust.com,Finance,US,Tier 3,25,,13025,No
828,Federal Mogul Motorparts Corporation,wagnerbrake.com,Technology And Computing,US,Tier 3,25,,12968,No
829,,stockq.org,Finance,CN,Tier 3,25,,12940,No
830,,brazilwindpower.com.br,Business And Industrial,GB,Tier 3,25,,12865,No
831,,daikin-ce.com,Business And Industrial,BE,Tier 3,25,,12842,No
832,Halliburton Labs,halliburtonlabs.com,Business And Industrial,,Tier 3,25,,12799,No
833,,e-dis.de,Technology And Computing,DE,Tier 3,25,,12747,No
834,,si-am.de,Business And Industrial,DE,Tier 3,25,,12665,No
835,Clear Mobile,clearmobile.ie,Business And Industrial,IE,Tier 3,25,,12650,No
836,Factor This,renewableenergyworld.com,Business And Industrial,US,Tier 3,25,,12615,No
837,Advanced Security Systems Inc,advancedsecurity.us,Technology And Computing,US,Tier 3,25,,12605,No
838,Akzo Nobel N.V,lesonal.pl,Business And Industrial,PL,Tier 3,25,,12481,No
839,Kia Deutschland GmbH,kia-ahag-duelmen.de,Technology And Computing,,Tier 3,25,,12300,No
840,Bridgestone Corporation,bridgestone.gr,Business And Industrial,BE,Tier 3,25,,12240,No
841,Costa Kreuzfahrten GmbH,costakreuzfahrten.at,Business And Industrial,IT,Tier 3,25,,12220,No
842,,eniplenitude.eu,Technology And Computing,,Tier 3,25,,12150,No
843,National Comprehensive Cancer Network Inc,calquencehcp.com,Business And Industrial,,Tier 3,25,,12050,No
844,,eveprogramme.com,Technology And Computing,,Tier 3,25,,11317,No
845,Ketocafe,ketocafe.nl,Technology And Computing,FR,Tier 3,25,,11312,No
846,Akzo Nobel N.V,duluxtradepaintexpert.co.uk,Business And Industrial,GB,Tier 3,25,,11308,No
847,MINI,mini.com.mk,Technology And Computing,,Tier 3,25,,11300,No
848,,whirlpool.sa,Technology And Computing,AE,Tier 3,25,,11282,No
849,Girl Scouts Of Louisiana - Pines To The Gulf,gslpg.org,Technology And Computing,US,Tier 3,25,,11219,No
850,Kreissparkasse Saarlouis,ksk-saarlouis.de,Finance,DE,Tier 3,25,,11217,No
851,,erste-am.de,Finance,HU,Tier 3,25,,11160,No
852,Erste Asset Management d.o.o,erste-am.hr,Business And Industrial,HR,Tier 3,25,,11160,No
853,Business Mirror,businessmirror.net,Business And Industrial,US,Tier 3,25,,10918,No
854,,international-yachtpaint.com,"Law, Govt And Politics",,Tier 3,25,,10859,No
855,,erste-am.at,Finance,HU,Tier 3,25,,10850,No
856,,erste-am.hu,Finance,,Tier 3,25,,10850,No
857,potnoodle,potnoodle.com,Business And Industrial,GB,Tier 3,25,,10811,No
858,Sparkasse Mainfranken Wurzburg,sparkasse-mainfranken.de,Finance,DE,Tier 3,25,,10632,No
859,Artsana S.p.a,picsolution.com,Business And Industrial,IT,Tier 3,25,,10610,No
860,,samlubes.in,Business And Industrial,IN,Tier 3,25,,10540,No
861,,viscomitalia.it,"Law, Govt And Politics",IT,Tier 3,25,,10527,No
862,Kreissparkasse Ravensburg,kreissparkasse-ravensburg.de,Technology And Computing,DE,Tier 3,25,,10500,No
863,Weberbank Actiengesellschaft,weberbank.de,Technology And Computing,DE,Tier 3,25,,10500,No
864,Zweckverbandssparkasse Rhoen-Rennsteig,rhoen-rennsteig-sparkasse.de,Finance,DE,Tier 3,25,,10500,No
865,Sparkasse Saarbrucken,sparkasse-saarbruecken.de,Finance,DE,Tier 3,25,,10500,No
866,Kreissparkasse Steinfurt,ksk-steinfurt.de,Business And Industrial,DE,Tier 3,25,,10500,No
867,Sparkasse Donnersberg,sparkasse-donnersberg.de,Finance,DE,Tier 3,25,,10500,No
868,,nordsjo.se,Technology And Computing,SE,Tier 3,25,,10465,No
869,Hamilton Bond Ltd,hamilton-bond.co.uk,Business And Industrial,GB,Tier 3,25,,10410,No
870,AMD Indonesia,amd-id.com,Technology And Computing,ID,Tier 3,25,,10311,No
871,Mercer LLC,nzasretirementfund.com,Business And Industrial,NZ,Tier 3,25,,10300,No
872,Reed Exhibitions Ltd,reedexport.cn,Science,CN,Tier 3,25,,10300,No
873,Regis-TR,regis-tr.com,Business And Industrial,DE,Tier 3,25,,10219,No
874,,gcmliberia.org,Technology And Computing,,Tier 3,25,,10217,No
875,Imperial Chemical Industries Ltd,dulux.com.hk,"Law, Govt And Politics",HK,Tier 3,25,,10178,No
876,Sparkasse Berchtesgadener Land,sparkasse-bgl.de,Technology And Computing,DE,Tier 3,25,,10150,No
877,Stadtsparkasse Grebenstein,stadtsparkasse-grebenstein.de,Finance,DE,Tier 3,25,,10150,No
878,Sparkasse Hochsauerland,sparkasse-hochsauerland.de,Finance,DE,Tier 3,25,,10150,No
879,,yachtcoatings.com,Technology And Computing,,Tier 3,25,,10130,No
880,SIX Exchange Regulation AG,ser-ag.com,Finance,CH,Tier 3,25,,9985,No
881,Central California Society for Human Resource Management,centralcalshrm.org,Business And Industrial,US,Tier 3,25,,9947,No
882,MINI,mini.com.mt,Business And Industrial,MT,Tier 3,25,,9935,No
883,Sparkasse Freiburg - Nordlicher Breisgau,sparkasse-freiburg.de,Finance,DE,Tier 3,25,,9910,No
884,mybenefitsolutions.com Inc,mybenefitsolutions.com,Finance,US,Tier 3,25,,9850,No
885,Kreissparkasse Doebeln,sparkasse-doebeln.de,Finance,DE,Tier 3,25,,9850,No
886,Kreissparkasse Heilbronn,sparkasse-heilbronn.de,Technology And Computing,DE,Tier 3,25,,9800,No
887,Adeptus,adeptus.co.za,Business And Industrial,,Tier 3,25,,9650,No
888,,sparkasse-guetersloh-rietberg-versmold.de,Finance,DE,Tier 3,25,,9500,No
889,Sparkasse Neuburg-Rain,sparkasse-neuburg-rain.de,Finance,DE,Tier 3,25,,9500,No
890,,facingfearinterviews.com,Technology And Computing,AU,Tier 3,25,,9500,No
891,,biogentriallink.com,"Law, Govt And Politics",US,Tier 3,25,,9500,No
892,Stadtsparkasse Schwedt,sparkasse-schwedt.de,Finance,DE,Tier 3,25,,9500,No
893,United Natural Foods Inc,iunfi.com,Business And Industrial,,Tier 3,25,,9500,No
894,KoS Informatik AG,kos.ch,Technology And Computing,CH,Tier 3,25,,9500,No
895,,mykidsdentistfountain.com,Technology And Computing,US,Tier 3,25,,9410,No
896,,reno.dk,Business And Industrial,DK,Tier 3,25,,9317,No
897,Haven Mortgages Ltd,havenmortgages.ie,Technology And Computing,IE,Tier 3,25,,9310,No
898,,bingosnacks.com,Technology And Computing,,Tier 3,25,,9200,No
899,The Tiffany And CO Foundation,tiffanyandcofoundation.org,Business And Industrial,US,Tier 3,25,,9200,No
900,Australian Trade Commission,tra.gov.au,"Law, Govt And Politics",AU,Tier 3,25,,9102,No
901,,taylorfoundation.org,Business And Industrial,US,Tier 3,25,,9028,No
902,4Ward Communications,4ward-communications.co.uk,Technology And Computing,GB,Tier 3,25,,8982,No
903,Robert Walters,robertwalters.com.hk,Business And Industrial,GB,Tier 3,25,,8900,No
904,ALTERNA OPERADOR INTEGRAL S.L,alternaonline.es,Business And Industrial,ES,Tier 3,25,,8871,No
905,,clienteherbalife.com.br,Technology And Computing,BR,Tier 3,25,,8870,No
906,,nordsjo.no,Science,NO,Tier 3,25,,8778,No
907,Palmolive Co,palmolive.pl,Business And Industrial,PL,Tier 3,25,,8750,No
908,Next Venture Motorsports LLC,nextventuremotorsports.com,Business And Industrial,US,Tier 3,25,,8727,No
909,,q8.com,Business And Industrial,ES,Tier 3,25,,8630,No
910,,fraserspropertyindustrial.com,Business And Industrial,DE,Tier 3,25,,8615,No
911,,mufgms.jp,Business And Industrial,,Tier 3,25,,8597,No
912,McKinney,mckinneyhinge.com,Business And Industrial,US,Tier 3,25,,8519,No
913,hillrom corp,hillrom.com.au,Business And Industrial,,Tier 3,25,,8500,No
914,Telefonica Germany GmbH,fonic.de,Technology And Computing,DE,Tier 3,25,,8470,No
915,Shell PLC,shell.com.hk,Business And Industrial,HK,Tier 3,25,,8400,No
916,SHELL INFORMATION TECHNOLOGY INTERNATIONAL B.V,shell.com.vn,"Law, Govt And Politics",VN,Tier 3,25,,8400,No
917,Contact Us,devegetarischeslager.be,Technology And Computing,BE,Tier 3,25,,8400,No
918,Shell PLC,shell.com.ve,Business And Industrial,VE,Tier 3,25,,8400,No
